,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
2295.json,1.19999149367663,0.009917285071708,130,98.7473599658253,2022-07-17 17:27:28.560605110,2022-07-17 17:27:29.760596604,39.2314097423427,43.5953166911144,-35.021282,-30.657375,DUR+AFT,Absent,Attraction,5,18
2317.json,1.05108736352114,0.009823246388048,129,98.5934079122953,2022-07-17 17:40:32.976358748,2022-07-17 17:40:34.027446112,24.4056988340436,31.1863830161817,-59.965523,-53.127678,DUR,Absent,Attraction,8,1
2332.json,1.11793439929426,0.009893224772516,129,98.9194726353447,2022-07-17 17:40:43.038532386,2022-07-17 17:40:44.156466786,32.888073348999,37.7376950672695,-52.632305,-47.852238,DUR,Absent,Attraction,8,1
2333.json,1.14517440598407,0.009872193155035,129,99.0387595020087,2022-07-17 17:40:36.475412879,2022-07-17 17:40:37.620587285,20.770486831665,26.8612844149272,-63.85833,-57.722763,DUR,Absent,Attraction,8,1
2334.json,1.16520208238283,0.009874593918499,138,97.1078096001936,2022-07-17 17:40:14.315005261,2022-07-17 17:40:15.480207343,30.0781222042972,34.5349404321958,-49.54327,-45.038536,DUR,Absent,Attraction,8,93
2335.json,1.9466973830024,0.009932129505114,129,97.3749350451657,2022-07-17 17:40:18.354917722,2022-07-17 17:40:20.301615105,23.5718995860366,28.7644272475946,-57.591965,-52.3526,DUR,Absent,Attraction,8,1
2390.json,1.60942954962615,0.009934750306334,129,98.9236160688546,2022-07-17 17:42:37.908212137,2022-07-17 17:42:39.517641687,15.1139468957882,22.2343975860294,-66.36593,-59.21945,DUR,Absent,Socialising,8,1
2395.json,1.82162126425958,0.009900115566628,129,97.0370809613791,2022-07-17 17:42:26.519657373,2022-07-17 17:42:28.341278637,25.7008020659201,32.4328732553007,-52.866768,-46.11531,DUR,Absent,Socialising,8,1
2401.json,1.64558504225931,0.009913162905177,129,98.6438601515103,2022-07-17 17:42:21.365788423,2022-07-17 17:42:23.011373466,24.0036315180829,29.6596846281042,-53.20672,-47.550667,DUR,Absent,Socialising,8,1
2409.json,1.36028493314827,0.009857137196727,129,98.1945692380718,2022-07-17 17:42:08.929848054,2022-07-17 17:42:10.290132987,15.3367230822468,21.33166836298,-66.950134,-60.955185,DUR,Absent,Socialising,8,1
2427.json,1.03551219364034,0.009862020891813,140,97.4981865764223,2022-07-17 17:53:46.539656073,2022-07-17 17:53:47.575168267,23.1647806822799,27.0385163576548,-55.392277,-51.54792,DUR,Absent,Foraging,8,60
2428.json,1.23235116463319,0.009858809317066,137,99.0706663609666,2022-07-17 17:53:08.827683256,2022-07-17 17:53:10.060034421,28.0390573563114,32.5231059412802,-45.75639,-41.35139,DUR,Absent,Foraging,8,17
2441.json,1.86467482718899,0.009918483123346,141,99.5655214293547,2022-07-17 17:53:00.533185708,2022-07-17 17:53:02.397860535,20.036946956928,22.0857082106109,-55.731346,-53.68258,DUR,Absent,Foraging,8,95
2458.json,2.29220163695093,0.009922950809311,140,99.6847718999773,2022-07-17 17:53:49.484155644,2022-07-17 17:53:51.776357281,23.2710337109036,27.8049241701762,-55.778774,-51.238434,DUR,Absent,Foraging,8,60
2461.json,1.63522726584869,0.009910468277871,141,97.2662103526448,2022-07-17 17:53:31.955561650,2022-07-17 17:53:33.590788916,14.2293656512005,15.7683621104171,-56.348915,-54.813858,DUR,Absent,Foraging,8,95
2468.json,1.10590810391848,0.009874179499272,137,99.1877403555084,2022-07-17 17:53:20.032021374,2022-07-17 17:53:21.137929479,29.4634622573852,35.5563671657017,-47.173115,-41.09021,DUR,Absent,Foraging,8,17
2477.json,1.00534904623493,0.009856363198382,137,99.2630971774343,2022-07-17 17:53:11.879006224,2022-07-17 17:53:12.884355270,25.2432009479192,29.3323058180922,-51.62972,-47.523685,DUR,Absent,Foraging,8,17
2497.json,2.2357654722183,0.009936735432081,140,99.0963903708311,2022-07-17 17:53:04.059395173,2022-07-17 17:53:06.295160645,21.8552007573355,24.787117425233,-53.20923,-50.277313,DUR,Absent,Foraging,8,60
2508.json,1.01169635048633,0.009822294664916,125,99.4550383669022,2022-07-17 17:48:57.970533895,2022-07-17 17:48:58.982230245,21.9999686181545,27.193975508213,-58.949684,-53.75115,DUR,Absent,Foraging,8,36
