,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file,duration,category
11891.json,2020-07-16 08:59:26.032339826,2020-07-16 08:59:26.705047087,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.672707261,4
11892.json,2020-07-16 08:59:28.066553401,2020-07-16 08:59:28.966810442,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.900257041,96
11894.json,2020-07-16 08:59:32.585388800,2020-07-16 08:59:33.481918493,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.896529693,0
11895.json,2020-07-16 08:59:32.620470397,2020-07-16 08:59:32.829011000,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.208540603,0
11896.json,2020-07-16 08:59:41.425305234,2020-07-16 08:59:41.718827996,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.293522762,0
11897.json,2020-07-16 08:59:24.012798294,2020-07-16 08:59:24.284762032,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.271963738,0
11898.json,2020-07-16 08:59:42.045124827,2020-07-16 08:59:42.853496798,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.808371971,96
11899.json,2020-07-16 08:59:02.287476644,2020-07-16 08:59:03.118248715,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.830772071,4
119.json,2020-07-11 09:04:44.171403942,2020-07-11 09:04:44.770446632,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04,0.59904269,0
1190.json,2020-07-11 09:01:27.828289561,2020-07-11 09:01:27.972270364,DUR,Absent,Socialising,8.0,2020-07-11 09:01:00,2020-07-11_08:36,2020-07-11_09:01,0.143980803,0
11900.json,2020-07-16 08:59:58.304226103,2020-07-16 08:59:58.464204773,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.15997867,0
11901.json,2020-07-16 08:59:15.113425300,2020-07-16 08:59:15.435685296,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.322259996,0
11902.json,2020-07-16 08:59:45.224435055,2020-07-16 08:59:45.528970960,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.304535905,0
11903.json,2020-07-16 08:59:42.664705043,2020-07-16 08:59:43.577770623,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.91306558,0
